NEIGHBORHOOD,crime_rank,facility_rank,steps_rank,park_rank,tree_rank,student_rank
ALLENTOWN,54.0,48.0,52.0,38.0,10.0,56.0
BANKSVILLE,9.0,38.0,19.0,38.0,22.0,11.0
BEDFORD DWELLINGS,58.0,62.0,48.0,38.0,42.0,60.0
BEECHVIEW,28.0,21.0,50.0,47.0,20.0,44.0
BELTZHOOVER,23.0,46.0,29.0,38.0,7.0,30.0
BLOOMFIELD,43.0,40.0,15.0,38.0,56.0,34.0
BLUFF,61.0,44.0,27.0,38.0,28.0,8.0
BRIGHTON HEIGHTS,34.0,52.0,24.0,43.0,33.0,43.0
BROOKLINE,22.0,43.0,28.0,40.0,19.0,45.0
CALIFORNIA-KIRKBRIDE,45.0,23.0,59.0,38.0,21.0,47.0
CARRICK,44.0,37.0,25.0,38.0,24.0,53.0
CENTRAL LAWRENCEVILLE,15.0,10.0,8.0,38.0,30.0,7.0
CENTRAL NORTHSIDE,2.0,18.0,42.0,54.0,62.0,48.0
CENTRAL OAKLAND,49.0,15.0,41.0,61.0,46.0,2.0
CRAFTON HEIGHTS,27.0,1.0,32.0,38.0,26.0,51.0
CRAWFORD-ROBERTS,56.0,51.0,31.0,38.0,57.0,55.0
DUQUESNE HEIGHTS,12.0,11.0,35.0,49.0,3.0,6.0
EAST ALLEGHENY,62.0,9.0,45.0,38.0,41.0,14.0
EAST HILLS,51.0,29.0,33.0,38.0,35.0,57.0
EAST LIBERTY,55.0,26.0,3.0,62.0,59.0,54.0
ELLIOTT,29.0,54.0,55.0,38.0,6.0,25.0
FINEVIEW,53.0,20.0,61.0,38.0,15.0,31.0
GARFIELD,47.0,41.0,46.0,38.0,48.0,58.0
GREENFIELD,24.0,27.0,53.0,46.0,39.0,50.0
HAZELWOOD,13.0,16.0,21.0,39.0,4.0,10.0
HIGHLAND PARK,18.0,60.0,17.0,38.0,60.0,32.0
HOMEWOOD NORTH,60.0,5.0,43.0,52.0,37.0,61.0
KNOXVILLE,59.0,53.0,26.0,38.0,49.0,62.0
LARIMER,50.0,4.0,12.0,57.0,29.0,46.0
LINCOLN PLACE,6.0,25.0,16.0,38.0,9.0,16.0
LINCOLN-LEMINGTON-BELMAR,26.0,32.0,18.0,41.0,11.0,24.0
LOWER LAWRENCEVILLE,20.0,57.0,23.0,38.0,44.0,13.0
MANCHESTER,48.0,49.0,2.0,38.0,61.0,37.0
MARSHALL-SHADELAND,41.0,7.0,38.0,38.0,17.0,35.0
MIDDLE HILL,52.0,12.0,49.0,38.0,43.0,52.0
MORNINGSIDE,19.0,61.0,34.0,38.0,45.0,41.0
MOUNT WASHINGTON,42.0,33.0,44.0,42.0,32.0,33.0
NORTH OAKLAND,31.0,31.0,9.0,51.0,50.0,1.0
OAKWOOD,3.0,22.0,13.0,38.0,2.0,4.0
OVERBROOK,14.0,6.0,40.0,38.0,13.0,28.0
PERRY NORTH,17.0,58.0,36.0,38.0,34.0,29.0
PERRY SOUTH,39.0,13.0,54.0,38.0,18.0,42.0
POINT BREEZE,8.0,39.0,11.0,59.0,47.0,26.0
POINT BREEZE NORTH,33.0,14.0,5.0,60.0,55.0,40.0
POLISH HILL,21.0,56.0,60.0,55.0,40.0,12.0
REGENT SQUARE,4.0,59.0,10.0,58.0,58.0,17.0
SHADYSIDE,35.0,47.0,4.0,38.0,51.0,15.0
SHERADEN,38.0,34.0,37.0,50.0,14.0,49.0
SOUTH OAKLAND,25.0,19.0,30.0,56.0,23.0,9.0
SOUTH SIDE FLATS,57.0,28.0,6.0,53.0,53.0,5.0
SOUTH SIDE SLOPES,36.0,55.0,62.0,48.0,12.0,19.0
SPRING HILL-CITY VIEW,37.0,45.0,47.0,38.0,5.0,36.0
SQUIRREL HILL NORTH,7.0,30.0,14.0,38.0,52.0,22.0
SQUIRREL HILL SOUTH,11.0,50.0,7.0,45.0,54.0,20.0
STANTON HEIGHTS,10.0,2.0,39.0,38.0,38.0,39.0
TERRACE VILLAGE,30.0,42.0,20.0,38.0,31.0,59.0
TROY HILL,32.0,36.0,58.0,38.0,25.0,27.0
UPPER HILL,40.0,35.0,57.0,38.0,27.0,38.0
UPPER LAWRENCEVILLE,16.0,8.0,56.0,38.0,36.0,23.0
WEST OAKLAND,46.0,24.0,51.0,38.0,16.0,18.0
WESTWOOD,5.0,17.0,22.0,44.0,8.0,21.0
WINDGAP,1.0,3.0,1.0,38.0,1.0,3.0
