NEIGHBORHOOD,crime_rank,facility_rank,steps_rank,park_rank,tree_rank,student_rank,rank_sum
BEDFORD DWELLINGS,58.0,62.0,48.0,1.0,42.0,60.0,271.0
EAST LIBERTY,55.0,26.0,3.0,62.0,59.0,54.0,259.0
HOMEWOOD NORTH,60.0,5.0,43.0,52.0,37.0,61.0,258.0
CRAWFORD-ROBERTS,56.0,51.0,31.0,1.0,57.0,55.0,251.0
KNOXVILLE,59.0,53.0,26.0,1.0,49.0,62.0,250.0
POLISH HILL,21.0,56.0,60.0,55.0,40.0,12.0,244.0
GARFIELD,47.0,41.0,46.0,1.0,48.0,58.0,241.0
GREENFIELD,24.0,27.0,53.0,46.0,39.0,50.0,239.0
SOUTH SIDE SLOPES,36.0,55.0,62.0,48.0,12.0,19.0,232.0
BRIGHTON HEIGHTS,34.0,52.0,24.0,43.0,33.0,43.0,229.0
MOUNT WASHINGTON,42.0,33.0,44.0,42.0,32.0,33.0,226.0
CENTRAL NORTHSIDE,2.0,18.0,42.0,54.0,62.0,48.0,226.0
SHERADEN,38.0,34.0,37.0,50.0,14.0,49.0,222.0
ALLENTOWN,54.0,48.0,52.0,1.0,10.0,56.0,221.0
CENTRAL OAKLAND,49.0,15.0,41.0,61.0,46.0,2.0,214.0
BEECHVIEW,28.0,21.0,50.0,47.0,20.0,44.0,210.0
MIDDLE HILL,52.0,12.0,49.0,1.0,43.0,52.0,209.0
POINT BREEZE NORTH,33.0,14.0,5.0,60.0,55.0,40.0,207.0
EAST HILLS,51.0,29.0,33.0,1.0,35.0,57.0,206.0
REGENT SQUARE,4.0,59.0,10.0,58.0,58.0,17.0,206.0
SOUTH SIDE FLATS,57.0,28.0,6.0,53.0,53.0,5.0,202.0
MORNINGSIDE,19.0,61.0,34.0,1.0,45.0,41.0,201.0
MANCHESTER,48.0,49.0,2.0,1.0,61.0,37.0,198.0
UPPER HILL,40.0,35.0,57.0,1.0,27.0,38.0,198.0
LARIMER,50.0,4.0,12.0,57.0,29.0,46.0,198.0
BROOKLINE,22.0,43.0,28.0,40.0,19.0,45.0,197.0
CALIFORNIA-KIRKBRIDE,45.0,23.0,59.0,1.0,21.0,47.0,196.0
POINT BREEZE,8.0,39.0,11.0,59.0,47.0,26.0,190.0
BLOOMFIELD,43.0,40.0,15.0,1.0,56.0,34.0,189.0
HIGHLAND PARK,18.0,60.0,17.0,1.0,60.0,32.0,188.0
SQUIRREL HILL SOUTH,11.0,50.0,7.0,45.0,54.0,20.0,187.0
CARRICK,44.0,37.0,25.0,1.0,24.0,53.0,184.0
TERRACE VILLAGE,30.0,42.0,20.0,1.0,31.0,59.0,183.0
FINEVIEW,53.0,20.0,61.0,1.0,15.0,31.0,181.0
TROY HILL,32.0,36.0,58.0,1.0,25.0,27.0,179.0
PERRY NORTH,17.0,58.0,36.0,1.0,34.0,29.0,175.0
NORTH OAKLAND,31.0,31.0,9.0,51.0,50.0,1.0,173.0
EAST ALLEGHENY,62.0,9.0,45.0,1.0,41.0,14.0,172.0
SPRING HILL-CITY VIEW,37.0,45.0,47.0,1.0,5.0,36.0,171.0
ELLIOTT,29.0,54.0,55.0,1.0,6.0,25.0,170.0
BLUFF,61.0,44.0,27.0,1.0,28.0,8.0,169.0
PERRY SOUTH,39.0,13.0,54.0,1.0,18.0,42.0,167.0
SOUTH OAKLAND,25.0,19.0,30.0,56.0,23.0,9.0,162.0
LOWER LAWRENCEVILLE,20.0,57.0,23.0,1.0,44.0,13.0,158.0
WEST OAKLAND,46.0,24.0,51.0,1.0,16.0,18.0,156.0
SHADYSIDE,35.0,47.0,4.0,1.0,51.0,15.0,153.0
LINCOLN-LEMINGTON-BELMAR,26.0,32.0,18.0,41.0,11.0,24.0,152.0
UPPER LAWRENCEVILLE,16.0,8.0,56.0,1.0,36.0,23.0,140.0
MARSHALL-SHADELAND,41.0,7.0,38.0,1.0,17.0,35.0,139.0
CRAFTON HEIGHTS,27.0,1.0,32.0,1.0,26.0,51.0,138.0
BELTZHOOVER,23.0,46.0,29.0,1.0,7.0,30.0,136.0
STANTON HEIGHTS,10.0,2.0,39.0,1.0,38.0,39.0,129.0
SQUIRREL HILL NORTH,7.0,30.0,14.0,1.0,52.0,22.0,126.0
WESTWOOD,5.0,17.0,22.0,44.0,8.0,21.0,117.0
DUQUESNE HEIGHTS,12.0,11.0,35.0,49.0,3.0,6.0,116.0
HAZELWOOD,13.0,16.0,21.0,39.0,4.0,10.0,103.0
OVERBROOK,14.0,6.0,40.0,1.0,13.0,28.0,102.0
BANKSVILLE,9.0,38.0,19.0,1.0,22.0,11.0,100.0
LINCOLN PLACE,6.0,25.0,16.0,1.0,9.0,16.0,73.0
CENTRAL LAWRENCEVILLE,15.0,10.0,8.0,1.0,30.0,7.0,71.0
OAKWOOD,3.0,22.0,13.0,1.0,2.0,4.0,45.0
WINDGAP,1.0,3.0,1.0,1.0,1.0,3.0,10.0
