_id,objectid_1,objectid,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,hood,hood_no,acres,sqmiles,sectors,censusbloc,hudtractnu,st_area_sh,st_length,cdbguogid2,cdbgname20,stusab2018,cdbgty2018,state2018,county2018,countyname,tract2018,blkgrp2018,lowmod2018,lowmoduniv,lowmodpct2,geoid2018,cdbguogi_1,cdbgname_1,stusab2014,cdbgty2014,state2014,county2014,countyna_1,tract2014,blkgrp2014,lowmod2014,lowmodun_1,lowmodpc_1,geoid2014,lmper2018,cdbg2018,shape_area,shape_length
19966,1,72,42,003,080200,2,420030802002,Block Group 2,G5030,S,92307,0,+40.4617308,-079.9522528,Bloomfield,10,451.405,0.702,12,0802002,15000US420030802002,993479.395778,4036.16383334,425529,Pittsburgh,PA,51,42,3,Allegheny County,80200,2,385,605,1,15000US420030802002,425529,Pittsburgh,PA,51,42,3,Allegheny County,80200,2,595,895,0.66,802002,0.63999999,Yes,159626.40625,1617.8703216679
19967,2,81,42,003,110200,1,420031102001,Block Group 1,G5030,S,144791,0,+40.4780209,-079.9195862,Highland Park,40,747.691,1.163,12,1102001,15000US420031102001,1558404.41026,5475.12806165,425529,Pittsburgh,PA,51,42,3,Allegheny County,110200,1,395,810,0,15000US420031102001,425529,Pittsburgh,PA,51,42,3,Allegheny County,110200,1,290,695,0.42,1102001,0.49000001,No,250515.703125,2194.54785981249
19968,3,204,42,003,140800,3,420031408003,Block Group 3,G5030,S,107775,0,+40.4310415,-079.9212387,Squirrel Hill South,77,1717.485,2.671,10,1408003,15000US420031408003,1159976.00211,4443.12302398,425529,Pittsburgh,PA,51,42,3,Allegheny County,140800,3,745,1160,1,15000US420031408003,425529,Pittsburgh,PA,51,42,3,Allegheny County,140800,3,450,790,0.57,1408003,0.63999999,Yes,186209.2109375,1779.70926114574
19969,4,222,42,003,140400,2,420031404002,Block Group 2,G5030,S,198772,0,+40.4473171,-079.9143987,Point Breeze,63,645.695,1.004,10,1404002,15000US420031404002,2142191.49754,6714.04051007,425529,Pittsburgh,PA,51,42,3,Allegheny County,140400,2,75,630,0,15000US420031404002,425529,Pittsburgh,PA,51,42,3,Allegheny County,140400,2,150,730,0.21,1404002,0.12,No,344047.87109375,2690.50607989276
19970,5,266,42,003,130600,3,420031306003,Block Group 3,G5030,S,702176,0,+40.4531812,-079.8715481,East Hills,28,348.077,0.541,11,1306003,15000US420031306003,7425258.29195,10890.7937702,425529,Pittsburgh,PA,51,42,3,Allegheny County,130600,3,1460,1760,1,15000US420031306003,425529,Pittsburgh,PA,51,42,3,Allegheny County,130600,3,1275,1625,0.78,1306003,0.82999998,Yes,1192743.796875,4364.49267511082
19971,6,109,42,003,120400,1,420031204001,Block Group 1,G5030,S,176103,0,+40.4633748,-079.9087841,Larimer,45,286.16,0.445,12,1204001,15000US420031204001,1895397.46661,5462.85310004,425529,Pittsburgh,PA,51,42,3,Allegheny County,120400,1,370,405,1,15000US420031204001,425529,Pittsburgh,PA,51,42,3,Allegheny County,120400,1,240,485,0.49,1204001,0.91000003,Yes,304555.984375,2189.87144550085
19972,7,122,42,003,191800,2,420031918002,Block Group 2,G5030,S,151177,0,+40.3905048,-080.0228446,Brookline,14,1338.669,2.082,5,1918002,15000US420031918002,1621893.08816,5370.03676538,425529,Pittsburgh,PA,51,42,3,Allegheny County,191800,2,130,370,0,15000US420031918002,425529,Pittsburgh,PA,51,42,3,Allegheny County,191800,2,95,345,0.28,1918002,0.34999999,No,260049.38671875,2149.80885712186
19973,8,124,42,003,191800,4,420031918004,Block Group 4,G5030,S,208766,0,+40.3935062,-080.0262803,Brookline,14,1338.669,2.082,5,1918004,15000US420031918004,2238418.23947,7509.76218419,425529,Pittsburgh,PA,51,42,3,Allegheny County,191800,4,360,910,0,15000US420031918004,425529,Pittsburgh,PA,51,42,3,Allegheny County,191800,4,570,1500,0.38,1918004,0.40000001,No,358932.9453125,3007.11334717112
19974,9,133,42,003,080900,1,420030809001,Block Group 1,G5030,S,221736,0,+40.4623780,-079.9463542,Bloomfield,10,451.405,0.702,12,0809001,15000US420030809001,2386547.31631,7332.43355106,425529,Pittsburgh,PA,51,42,3,Allegheny County,80900,1,575,1070,1,15000US420030809001,425529,Pittsburgh,PA,51,42,3,Allegheny County,80900,1,630,1005,0.63,809001,0.54000002,Yes,383463.68359375,2940.10704583487
19975,10,5,42,003,030500,1,420030305001,Block Group 1,G5030,S,383059,0,+40.4444763,-079.9855727,Crawford-Roberts,24,166.101,0.258,15,0305001,15000US420030305001,4149479.49839,10723.0878164,425529,Pittsburgh,PA,51,42,3,Allegheny County,30500,1,995,1230,1,15000US420030305001,425529,Pittsburgh,PA,51,42,3,Allegheny County,30500,1,1320,1585,0.83,305001,0.81,Yes,666374.43359375,4297.44955867616
