NEIGHBORHOOD,SUMMARY
South Side Flats,Disorderly Conduct
South Side Flats,Public drunkenness
Brookline,Rabies vaccination
South Side Flats,Public urination/defecation
Squirrel Hill North,Unreasonable noise disorderly conduct
Elliott,Fighting disorderly conduct
Squirrel Hill North,Unreasonable noise disorderly conduct
Shadyside,Fighting in disorderly conduct
Golden Triangle/Civic Arena,Obstructing passage
North Shore,Harassment
South Oakland,Public drunkenness
South Side Flats,Disorderly Conduct
North Oakland,Loudspeaker noise limit
Central Oakland,Public drunkenness
North Oakland,Disorderly conduct (unreasonable noise)
South Side Flats,Public drunkenness
Carrick,Criminal Mischief (Graffiti Damage)
South Side Flats,Indecent public exposure
Golden Triangle/Civic Arena,Public drunkenness
Central Oakland,Alcohol consumption in public
Central Oakland,Indecent public act
Golden Triangle/Civic Arena,Public urination/defecation
South Side Flats,Harassment
Bluff,Public urination/defecation
Central Oakland,Loudspeaker volume limit
Brookline,Public drunkenness
South Side Flats,Disorderly Conduct
South Side Flats,Public drunkenness
Homewood South,Scattering rubbish
Carrick,Public drunkenness
Brookline,Dog license requirement
Brookline,Rabies vaccination
West Oakland,Underage liquor offense
South Side Flats,Disorderly conduct
Central Oakland,Public drunkenness
Glen Hazel,Excessive noise in apartment
South Side Flats,Criminal Mischief
Lincoln-Lemington-Belmar,Actual Communication
Homewood West,Criminal Mischief
South Side Flats,Public drunkenness
East Hills,Criminal Mischief
North Shore,Obscene lang/gest disorderly conduct
South Side Flats,Criminal Mischief
Carrick,Public drunkenness
South Oakland,Disorderly Conduct - Unreasonable Noise
Central Oakland,Alcohol consumption in public
Carrick,Open Container
Homewood South,Criminal Mischief
South Oakland,Public urination/defecation
South Side Flats,Fighting (disorderly conduct)
South Side Flats,Disorderly conduct
South Side Flats,Public urination/defecation
South Side Flats,Trespass
Northview Heights,Fighting in disorderly conduct
Brookline,Rabies vaccination
Beechview,Public drunkenness
Brookline,Cruelty to Animals
South Side Flats,Park hours
South Side Flats,Public drunkenness
South Side Flats,Park hours
Carrick,Disorderly conduct (unreasonable noise)
South Oakland,Fighting (disorderly conduct)
South Side Flats,Unreasonable noise disorderly conduct
Lincoln-Lemington-Belmar,Actual Communication
North Oakland,Underage liquor offense
Strip District,Underage liquor
East Liberty,Public drunkenness
South Side Flats,Public urination/defecation
Hazelwood,Public drunkenness
South Side Flats,Indecent public act
Brookline,Disorderly conduct
North Oakland,Loudspeaker noise limit
Golden Triangle/Civic Arena,Public drunkenness
Bluff,Unreasonable noise disorderly conduct
Brookline,Public drunkenness
South Side Flats,Littering/Dumping
East Liberty,Spitting
Shadyside,Disorderly conduct (unreasonable noise)
Golden Triangle/Civic Arena,Open container
East Hills,Public drunkenness
Allentown,Public drunkenness
Northview Heights,Disorderly conduct - Unreasonable noise
South Side Flats,Public drunkenness
South Side Flats,Public urination/defecation
Bluff,Public drunkenness
South Oakland,Underage liquor offense
Golden Triangle/Civic Arena,Disorderly Conduct
Central Oakland,Alcohol consumption in public
South Side Flats,Open container
East Hills,Fighting in disorderly conduct
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Bloomfield,Criminal Mischief
South Side Flats,Public drunkenness
Point Breeze,Scattering Rubbish
Central Oakland,Alcohol on streets/sidewalks
North Oakland,Loudspeaker volume limit
Arlington,Harassment
West Oakland,Disorderly conduct - Unreasonable noise
South Oakland,Loudspeaker noise limit
Golden Triangle/Civic Arena,Obstructing passage
Central Oakland,Underage liquor
East Hills,Harassment
Hazelwood,Public drunkenness
Shadyside,Public drunkenness
