NEIGHBORHOOD,total_crimes_UNIT,under_18_UNIT,over_18_UNIT,facility_count_UNIT,Total_Length_With_Steps_UNIT,Total_Steps_UNIT,Length_per_Step_UNIT,Zero_Steps_Total_Length_UNIT,park_count_UNIT,non_park_count_UNIT,tree_count_UNIT,TOTAL_STUDENTS_UNIT
ALLENTOWN,12070.101520840231,372.37547245145396,11697.726048388777,38.52160059842627,19774.421640525485,7010.931308913581,36.21688945151188,0.0,25.681067065617516,0.0,1078.6048167559356,3710.914190981731
BANKSVILLE,1134.5627094190568,11.736855614679897,1122.825853804377,27.385996434253094,5528.058994514232,1322.3523992539351,16.35520412578175,0.0,7.824570409786598,0.0,1709.6686345383716,704.2113368807939
BEDFORD DWELLINGS,13992.036887877708,274.35366446819035,13717.683223409518,126.62476821608786,11944.936468384287,6141.301258480261,41.04789164393225,0.0,21.104128036014643,0.0,4178.617351130899,4642.908167923221
BEECHVIEW,3092.295886133582,578.5083746709638,2513.787511462618,15.56524774899454,23975.669949367923,6482.925687456226,9.594105621995968,609.6388701689528,15.56524774899454,5.188415916331514,1585.0610624392773,2059.801118783611
BELTZHOOVER,2537.284679133899,72.19915753633045,2465.0855215975685,36.09957876816522,10350.264941101086,2351.629702611906,22.697949432239223,593.0645083341429,15.471248043499383,0.0,876.7040557982983,1304.7419183351146
BLOOMFIELD,5273.886368358494,145.44936868813008,5128.436999670364,32.32208193069557,2461.865240387979,969.6624579208672,13.677029113266551,0.0,16.161040965347784,0.0,7735.751608746473,1406.0105639852572
BLUFF,17260.990198877284,104.05151492960185,17156.938683947683,34.683838309867284,3329.648477747259,2069.4690191554146,18.601388143839436,0.0,11.561279436622428,0.0,2566.604034930179,566.5026923944989
BRIGHTON HEIGHTS,3758.626343651129,365.37501810470025,3393.251325546429,47.36342827283151,4804.00486767291,1789.6609683091335,9.081294645884519,0.0,10.149306058463894,3.383102019487965,3078.622837734048,2023.0950076538031
BROOKLINE,2515.933957602042,191.29114087488372,2324.6428167271583,34.61458739640753,8303.857334359238,2286.3845885521814,6.616619389927679,411.73140797832116,3.6436407785692135,1.8218203892846068,1554.0127920597697,2129.7080350737056
CALIFORNIA-KIRKBRIDE,5472.07251888699,243.97775561916515,5228.094763267824,17.42698254422608,30322.94962695338,12965.675012904205,40.75665272439971,0.0,0.0,0.0,1638.1363591572517,2178.37281802826
CARRICK,5278.283139648355,473.45973226888674,4804.823407379468,27.18429084797436,7530.048564888898,1900.6350017875407,8.975028086875922,507.44009582885474,6.79607271199359,0.0,1748.8560445530172,2890.5962601679403
CENTRAL LAWRENCEVILLE,1688.2030456486104,51.03869672891148,1637.164348919699,11.778160783594958,2037.6218155619276,486.8306457219249,16.432433996467157,0.0,3.9260535945316524,0.0,2799.276212901068,549.6475032344313
CENTRAL NORTHSIDE,335.9630922463507,0.0,335.9630922463507,14.60709096723264,11744.101137655043,4864.161292088469,35.26757098394907,0.0,29.21418193446528,14.60709096723264,9845.179311914799,2191.063645084896
CENTRAL OAKLAND,6968.78785645867,174.89235933197435,6793.895497126696,13.453258410151873,8717.711449778413,4856.626286064826,24.14878517944159,0.0,26.906516820303747,26.906516820303747,4950.799094935889,215.25213456242997
CRAFTON HEIGHTS,3014.2930680154345,277.23431227566704,2737.0587557397675,5.0406238595575825,11815.222326802974,2968.927453279416,20.059800215285183,0.0,10.081247719115165,0.0,1854.9495803171903,2716.896260301537
CRAWFORD-ROBERTS,12170.43562998839,175.74636288791896,11994.68926710047,43.93659072197974,8391.88882789813,2885.1694574100034,42.598420446183404,0.0,43.93659072197974,0.0,8318.661176694832,3339.1808948704606
DUQUESNE HEIGHTS,1160.8874271549282,6.0779446447902,1154.809482510138,12.1558892895804,20427.97195113986,3361.103388568981,36.940274776021454,0.0,6.0779446447902,6.0779446447902,613.8724091238103,474.07968229363564
EAST ALLEGHENY,23414.214913864485,275.3367651562536,23138.878148708234,10.58987558293283,12390.15443203141,5358.477044964012,24.48647120954824,0.0,0.0,0.0,4140.6413529267365,762.4710419711637
EAST HILLS,8322.955889375186,342.709948386037,7980.245940989148,20.982241737920635,9176.233720050624,3168.318502426016,20.2565865784782,0.0,6.994080579306878,0.0,3378.140919805222,3979.6318496256135
EAST LIBERTY,12168.759620841007,1125.7729488799434,11042.986671961062,19.5220742580337,260.2943234404493,117.1324455482022,14.46079574669163,0.0,26.02943234404493,52.05886468808986,8889.051145491345,3227.649610661572
ELLIOTT,3101.344392842292,140.75693159647318,2960.587461245819,51.61087491870683,18448.54183457775,8065.3721804779125,10.732136029422774,0.0,18.767590879529756,0.0,802.3145100998971,1074.4445778530785
FINEVIEW,12039.47641149818,212.01593680625726,11827.460474691923,15.143995486161234,60500.26196721413,18399.9545156859,49.794454294003394,0.0,30.28799097232247,0.0,1362.959593754511,1332.6716027821885
GARFIELD,5952.669414609357,289.3658743212882,5663.303540288069,33.07038563671865,13839.956388966753,5729.444311561506,19.971077040356068,0.0,24.802789227538987,0.0,5175.515352146468,4299.150132773424
