NEIGHBORHOOD,Under_18_Count,Over_18_Count,Total_Count,Under_18_Percent_Local,Over_18_Percent_Local,Under_18_Percent_Global,Over_18_Percent_Global
Allegheny Center,91,1147,1238,0.07350565428109855,0.9264943457189014,0.02499313375446306,0.019124635264693622
Allegheny West,0,129,129,0.0,1.0,0.0,0.002150896206752814
Allentown,29,911,940,0.030851063829787233,0.9691489361702128,0.007964844822850866,0.015189662359316382
Arlington,16,295,311,0.05144694533762058,0.9485530546623794,0.004394397143641857,0.00491871613172155
Arlington Heights,1,154,155,0.0064516129032258064,0.9935483870967742,0.00027464982147761604,0.002567736556898708
Banksville,3,287,290,0.010344827586206896,0.9896551724137931,0.0008239494644328481,0.004785327219674865
Bedford Dwellings,13,650,663,0.0196078431372549,0.9803921568627451,0.0035704476792090085,0.010837849103793247
Beechview,223,969,1192,0.18708053691275167,0.8129194630872483,0.061246910189508376,0.016156731971654858
Beltzhoover,14,478,492,0.028455284552845527,0.9715447154471545,0.0038450975006866246,0.007969987494789495
Bloomfield,27,952,979,0.027579162410623085,0.9724208375893769,0.007415545179895633,0.015873280533555648
Bluff,9,1484,1493,0.006028131279303416,0.9939718687206965,0.0024718483932985444,0.024743643184660276
Bon Air,4,262,266,0.015037593984962405,0.9849624060150376,0.0010985992859104642,0.00436848686952897
Brighton Heights,108,1003,1111,0.09720972097209721,0.9027902790279028,0.029662180719582532,0.01672363484785327
Brookline,105,1276,1381,0.07603186097031137,0.9239681390296887,0.028838231255149685,0.021275531471446438
California-Kirkbride,14,300,314,0.044585987261146494,0.9554140127388535,0.0038450975006866246,0.005002084201750729
Carrick,209,2121,2330,0.08969957081545064,0.9103004291845493,0.05740181268882175,0.03536473530637766
Central Business District,99,4294,4393,0.022535852492601868,0.9774641475073982,0.027190332326283987,0.07159649854105878
Central Lawrenceville,13,417,430,0.030232558139534883,0.9697674418604652,0.0035704476792090085,0.006952897040433514
Central North Side,15,834,849,0.0176678445229682,0.9823321554770318,0.004119747322164241,0.013905794080867027
