NEIGHBORHOOD,total_crimes,under_18,over_18,facility_count,Total_Length_With_Steps,Total_Steps,Length_per_Step,Zero_Steps_Total_Length,park_count,non_park_count,tree_count,TOTAL_STUDENTS
ALLEGHENY CENTER,1238,91,1147,4,141.0,66.0,2.136363636363636,0.0,2.0,0.0,867,84
ALLENTOWN,940,29,911,3,1540.0,546.0,2.8205128205128207,0.0,2.0,0.0,84,289
BANKSVILLE,290,3,287,7,1413.0,338.0,4.180473372781065,0.0,2.0,0.0,437,180
BEDFORD DWELLINGS,663,13,650,6,566.0,291.0,1.945017182130584,0.0,1.0,0.0,198,220
BEECHVIEW,1192,223,969,6,9242.0,2499.0,3.69827931172469,235.0,6.0,2.0,611,794
BELTZHOOVER,492,14,478,7,2007.0,456.0,4.401315789473684,115.0,3.0,0.0,170,253
BLOOMFIELD,979,27,952,6,457.0,180.0,2.5388888888888888,0.0,3.0,0.0,1436,261
BLUFF,1493,9,1484,3,288.0,179.0,1.6089385474860336,0.0,1.0,0.0,222,49
BON AIR,266,4,262,1,382.0,75.0,5.093333333333334,0.0,1.0,0.0,92,55
BRIGHTON HEIGHTS,1111,108,1003,14,1420.0,529.0,2.6843100189035916,0.0,3.0,1.0,910,598
BROOKLINE,1381,105,1276,19,4558.0,1255.0,3.631872509960159,226.0,2.0,1.0,853,1169
CALIFORNIA-KIRKBRIDE,314,14,300,1,1740.0,744.0,2.338709677419355,0.0,0.0,0.0,94,125
CARRICK,2330,209,2121,12,3324.0,839.0,3.961859356376639,224.0,3.0,0.0,772,1276
CENTRAL LAWRENCEVILLE,430,13,417,3,519.0,124.0,4.185483870967742,0.0,1.0,0.0,713,140
CENTRAL NORTHSIDE,23,0,23,1,804.0,333.0,2.414414414414414,0.0,2.0,1.0,674,150
CENTRAL OAKLAND,518,13,505,1,648.0,361.0,1.7950138504155124,0.0,2.0,2.0,368,16
CRAFTON HEIGHTS,598,55,543,1,2344.0,589.0,3.97962648556876,0.0,2.0,0.0,368,539
CRAWFORD-ROBERTS,831,12,819,3,573.0,197.0,2.9086294416243654,0.0,3.0,0.0,568,228
DUQUESNE HEIGHTS,191,1,190,2,3361.0,553.0,6.077757685352622,0.0,1.0,1.0,101,78
EAST ALLEGHENY,2211,26,2185,1,1170.0,506.0,2.3122529644268774,0.0,0.0,0.0,391,72
EAST HILLS,1190,49,1141,3,1312.0,453.0,2.8962472406181017,0.0,1.0,0.0,483,569
EAST LIBERTY,1870,173,1697,3,40.0,18.0,2.2222222222222223,0.0,4.0,8.0,1366,496
ELLIOTT,661,30,631,11,3932.0,1719.0,2.2873763816172192,0.0,4.0,0.0,171,229
FINEVIEW,795,14,781,1,3995.0,1215.0,3.288065843621399,0.0,2.0,0.0,90,88
GARFIELD,720,35,685,4,1674.0,693.0,2.4155844155844157,0.0,3.0,0.0,626,520
GLEN HAZEL,169,5,164,1,127.0,108.0,1.1759259259259258,0.0,0.0,0.0,2,70
GREENFIELD,535,27,508,4,4576.0,1611.0,2.840471756672874,0.0,2.0,1.0,745,487
HAZELWOOD,1393,101,1292,14,4942.0,1374.0,3.596797671033479,0.0,5.0,1.0,652,575
HIGHLAND PARK,555,29,526,30,1084.0,312.0,3.4743589743589745,0.0,2.0,0.0,2941,412
HOMEWOOD NORTH,1960,114,1846,1,1362.0,570.0,2.389473684210526,0.0,1.0,1.0,403,589
KNOXVILLE,1330,61,1269,4,739.0,157.0,4.707006369426751,0.0,0.0,0.0,432,616
LARIMER,873,35,838,1,165.0,93.0,1.7741935483870968,0.0,1.0,2.0,306,256
LINCOLN PLACE,227,21,206,5,858.0,260.0,3.3,0.0,2.0,0.0,263,243
LINCOLN-LEMINGTON-BELMAR,1360,45,1315,11,1215.0,563.0,2.158081705150977,0.0,2.0,1.0,525,508
LOWER LAWRENCEVILLE,270,19,251,7,368.0,200.0,1.84,0.0,3.0,0.0,508,84
MANCHESTER,469,32,437,3,14.0,8.0,1.75,0.0,3.0,0.0,707,110
MARSHALL-SHADELAND,1509,207,1302,3,5376.0,1373.0,3.91551347414421,0.0,4.0,0.0,488,467
MIDDLE HILL,924,40,884,1,1524.0,497.0,3.0663983903420524,0.0,1.0,0.0,341,228
MORNINGSIDE,188,5,183,10,737.0,333.0,2.2132132132132134,0.0,1.0,0.0,461,179
MOUNT WASHINGTON,1432,39,1393,7,6020.0,1574.0,3.8246505717916137,211.0,5.0,1.0,874,417
NORTH OAKLAND,451,15,436,3,292.0,72.0,4.055555555555555,0.0,0.0,1.0,775,11
OAKWOOD,82,2,80,3,702.0,145.0,4.841379310344828,0.0,1.0,0.0,92,75
OVERBROOK,330,20,310,2,2602.0,1017.0,2.5585054080629304,0.0,0.0,0.0,275,272
PERRY NORTH,575,172,403,20,3121.0,1153.0,2.7068516912402427,0.0,2.0,0.0,1007,397
PERRY SOUTH,1053,116,937,3,6929.0,1927.0,3.595744680851064,211.0,2.0,0.0,367,443
POINT BREEZE,296,57,239,8,773.0,186.0,4.155913978494624,0.0,1.0,6.0,1316,317
POINT BREEZE NORTH,285,7,278,1,25.0,16.0,1.5625,0.0,1.0,2.0,566,133
POLISH HILL,165,5,160,4,2607.0,1094.0,2.382998171846435,0.0,1.0,1.0,271,48
REGENT SQUARE,37,3,34,4,215.0,35.0,6.142857142857143,0.0,0.0,1.0,434,48
SHADYSIDE,961,37,924,9,60.0,50.0,1.2,0.0,0.0,0.0,1558,217
SHERADEN,1280,133,1147,7,4416.0,1145.0,3.856768558951965,0.0,4.0,2.0,392,694
SOUTH OAKLAND,352,2,350,2,1463.0,361.0,4.052631578947368,0.0,3.0,2.0,234,77
SOUTH SIDE FLATS,3456,55,3401,5,55.0,56.0,0.9821428571428572,0.0,3.0,3.0,1693,112
SOUTH SIDE SLOPES,799,15,784,11,13788.0,4773.0,2.8887492143306095,939.0,6.0,1.0,233,182
SPRING HILL-CITY VIEW,709,45,664,6,2161.0,1011.0,2.1374876360039563,0.0,3.0,0.0,114,239
SQUIRREL HILL NORTH,289,18,271,7,612.0,300.0,2.04,0.0,1.0,0.0,2083,333
SQUIRREL HILL SOUTH,802,128,674,29,1172.0,302.0,3.880794701986755,0.0,3.0,3.0,5073,679
STANTON HEIGHTS,221,8,213,1,2139.0,867.0,2.4671280276816607,0.0,1.0,0.0,700,332
TERRACE VILLAGE,297,8,289,3,322.0,124.0,2.596774193548387,0.0,2.0,0.0,261,401
TROY HILL,438,9,429,3,2647.0,1231.0,2.150284321689683,0.0,5.0,0.0,217,148
UPPER HILL,366,66,300,2,2624.0,804.0,3.263681592039801,0.0,1.0,0.0,179,135
UPPER LAWRENCEVILLE,188,5,183,1,2358.0,916.0,2.574235807860262,0.0,3.0,0.0,373,112
WEST END,290,6,284,2,338.0,127.0,2.661417322834646,0.0,1.0,1.0,131,28
WEST OAKLAND,324,4,320,1,281.0,376.0,0.7473404255319149,0.0,1.0,0.0,78,54
WESTWOOD,224,11,213,4,1114.0,470.0,2.370212765957447,0.0,2.0,1.0,260,269
WINDGAP,124,12,112,3,25.0,16.0,1.5625,0.0,1.0,0.0,117,110
