NEIGHBORHOOD,Under_18_Crime_Count_unit,Over_18_Crime_Count_unit,Total_Crime_Count_unit,Under_18_Percent_Local_unit,Over_18_Percent_Local_unit,Under_18_Percent_Global_unit,Over_18_Percent_Global_unit,Park_Count_unit,Non_Park_Count_unit,Park_Global_Percent_unit,Other_Global_Percent_unit,Total_Facilities_unit,Activity_Count_unit,Cabin_Count_unit,Community_Count_unit,Concession_Count_unit,Dugout_Count_unit,Firehouse_Count_unit,Medic Station_Count_unit,OFFICE_Count_unit,Office_Count_unit,POLICE_Count_unit,Police_Count_unit,Pool_Count_unit,Pool Closed_Count_unit,Pool/Rec_Count_unit,Rec Center_Count_unit,Recycling_Count_unit,Restrooms_Count_unit,SERVICE_Count_unit,STORAGE_Count_unit,Salt Dome_Count_unit,Senior_Count_unit,Service_Count_unit,Shelter_Count_unit,Storage_Count_unit,TRAINING_Count_unit,Training_Count_unit,Utility_Count_unit,Vacant_Count_unit,Activity_Percent_unit,Cabin_Percent_unit,Community_Percent_unit,Concession_Percent_unit,Dugout_Percent_unit,Firehouse_Percent_unit,Medic Station_Percent_unit,OFFICE_Percent_unit,Office_Percent_unit,POLICE_Percent_unit,Police_Percent_unit,Pool_Percent_unit,Pool Closed_Percent_unit,Pool/Rec_Percent_unit,Rec Center_Percent_unit,Recycling_Percent_unit,Restrooms_Percent_unit,SERVICE_Percent_unit,STORAGE_Percent_unit,Salt Dome_Percent_unit,Senior_Percent_unit,Service_Percent_unit,Shelter_Percent_unit,Storage_Percent_unit,TRAINING_Percent_unit,Training_Percent_unit,Utility_Percent_unit,Vacant_Percent_unit,Total_Length_With_Steps_unit,Total_Steps_unit,Length_per_Step_unit,Zero_Steps_Total_Length_unit,tree_count_unit,Under_18_Count_unit_unit,Over_18_Count_unit_unit,Total_Count_unit_unit,Under_18_Percent_Local_unit_unit,Over_18_Percent_Local_unit_unit,Under_18_Percent_Global_unit_unit,Over_18_Percent_Global_unit_unit,Park_Count_unit_unit,Non_Park_Count_unit_unit,Park_Global_Percent_unit_unit,Other_Global_Percent_unit_unit,Total_Facilities_unit_unit,Activity_Count_unit_unit,Cabin_Count_unit_unit,Community_Count_unit_unit,Concession_Count_unit_unit,Dugout_Count_unit_unit,Firehouse_Count_unit_unit,Medic Station_Count_unit_unit,OFFICE_Count_unit_unit,Office_Count_unit_unit,POLICE_Count_unit_unit,Police_Count_unit_unit,Pool_Count_unit_unit,Pool Closed_Count_unit_unit,Pool/Rec_Count_unit_unit,Rec Center_Count_unit_unit,Recycling_Count_unit_unit,Restrooms_Count_unit_unit,SERVICE_Count_unit_unit,STORAGE_Count_unit_unit,Salt Dome_Count_unit_unit,Senior_Count_unit_unit,Service_Count_unit_unit,Shelter_Count_unit_unit,Storage_Count_unit_unit,TRAINING_Count_unit_unit,Training_Count_unit_unit,Utility_Count_unit_unit,Vacant_Count_unit_unit,Activity_Percent_unit_unit,Cabin_Percent_unit_unit,Community_Percent_unit_unit,Concession_Percent_unit_unit,Dugout_Percent_unit_unit,Firehouse_Percent_unit_unit,Medic Station_Percent_unit_unit,OFFICE_Percent_unit_unit,Office_Percent_unit_unit,POLICE_Percent_unit_unit,Police_Percent_unit_unit,Pool_Percent_unit_unit,Pool Closed_Percent_unit_unit,Pool/Rec_Percent_unit_unit,Rec Center_Percent_unit_unit,Recycling_Percent_unit_unit,Restrooms_Percent_unit_unit,SERVICE_Percent_unit_unit,STORAGE_Percent_unit_unit,Salt Dome_Percent_unit_unit,Senior_Percent_unit_unit,Service_Percent_unit_unit,Shelter_Percent_unit_unit,Storage_Percent_unit_unit,TRAINING_Percent_unit_unit,Training_Percent_unit_unit,Utility_Percent_unit_unit,Vacant_Percent_unit_unit,Total_Length_With_Steps_unit_unit,Total_Steps_unit_unit,Length_per_Step_unit_unit,Zero_Steps_Total_Length_unit_unit,tree_count_unit_unit,Under_18_Count,Over_18_Count,Total_Count,Under_18_Percent_Local,Over_18_Percent_Local,Under_18_Percent_Global,Over_18_Percent_Global,Park_Count,Non_Park_Count,Park_Global_Percent,Other_Global_Percent,Total_Facilities,Activity_Count,Cabin_Count,Community_Count,Concession_Count,Dugout_Count,Firehouse_Count,Medic Station_Count,OFFICE_Count,Office_Count,POLICE_Count,Police_Count,Pool_Count,Pool Closed_Count,Pool/Rec_Count,Rec Center_Count,Recycling_Count,Restrooms_Count,SERVICE_Count,STORAGE_Count,Salt Dome_Count,Senior_Count,Service_Count,Shelter_Count,Storage_Count,TRAINING_Count,Training_Count,Utility_Count,Vacant_Count,Activity_Percent,Cabin_Percent,Community_Percent,Concession_Percent,Dugout_Percent,Firehouse_Percent,Medic Station_Percent,OFFICE_Percent,Office_Percent,POLICE_Percent,Police_Percent,Pool_Percent,Pool Closed_Percent,Pool/Rec_Percent,Rec Center_Percent,Recycling_Percent,Restrooms_Percent,SERVICE_Percent,STORAGE_Percent,Salt Dome_Percent,Senior_Percent,Service_Percent,Shelter_Percent,Storage_Percent,TRAINING_Percent,Training_Percent,Utility_Percent,Vacant_Percent,Total_Length_With_Steps,Total_Steps,Length_per_Step,Zero_Steps_Total_Length,tree_count
Allentown,331.1765936692962,10403.512994232029,10734.689587901325,0.3523155251801019,11.067567015140456,0.09095759232883643,0.1734641599705206,22.839765080641115,0.0,0.14927951033098766,0.0,34.25964762096167,11.419882540320557,0.0,0.0,0.0,0.0,0.0,11.419882540320557,0.0,0.0,0.0,11.419882540320557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.634437918906697,0.0,0.0,0.0,0.0,0.0,1.1419882540320558,0.0,0.0,0.0,1.4274853175400697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17586.61911209366,6235.255867015025,32.20992511372465,0.0,959.2701333869269,3781.9977998068316,118806.8964008284,122588.89420063522,4.0234019146881135,126.39031532003021,1.0387250205456744,1.9809403318187202,260.82743446943664,0.0,1.7047544736564484,0.0,391.24115170415496,130.41371723471832,0.0,0.0,0.0,0.0,0.0,130.41371723471832,0.0,0.0,0.0,130.41371723471832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.245206513039899,0.0,0.0,0.0,0.0,0.0,13.041371723471833,0.0,0.0,0.0,16.30171465433979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200837.1245414662,71205.8896101562,367.8335614312568,0.0,10954.752247716338,29,911,940,0.0308510638297872,0.9691489361702128,0.0079648448228508,0.0151896623593163,2.0,0.0,0.0130718954248366,0.0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1540.0,546.0,2.8205128205128207,0.0,84
Banksville,8.440093142329497,807.4355772828551,815.8756704251846,0.029103769456308333,2.78426061132019,0.002318070074795112,0.013462869150193317,5.6267287615529975,0.0,0.03677600497747057,0.0,19.69355066543549,0.0,0.0,0.0,5.6267287615529975,5.6267287615529975,0.0,0.0,0.0,0.0,0.0,0.0,2.8133643807764988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8133643807764988,2.8133643807764988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17583527379853117,0.13396973241792845,0.0,0.0,0.0,0.0,0.0,0.0,0.10820632233755748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453768448512338,0.11722351586568726,0.0,0.0,0.0,0.0,3975.2838700371926,950.9171607024566,11.76119488176684,0.0,1229.44023439933,23.745057417065798,2271.6104928992945,2295.35555031636,0.08187950833470888,7.8331396306872225,0.0065215757805724825,0.03787595653020865,15.830038278043864,0.0,0.10346430247087493,0.0,55.405133973153525,0.0,0.0,0.0,15.830038278043864,15.830038278043864,0.0,0.0,0.0,0.0,0.0,0.0,7.915019139021932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.915019139021932,7.915019139021932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49468869618887074,0.3769056732867585,0.0,0.0,0.0,0.0,0.0,0.0,0.3044238130393046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12766159901648264,0.3297924641259133,0.0,0.0,0.0,0.0,11183.92204343799,2675.276468989413,33.088526755733696,0.0,3458.8633637525845,3,287,290,0.0103448275862068,0.9896551724137932,0.0008239494644328,0.0047853272196748,2.0,0.0,0.0130718954248366,0.0,7,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0625,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161290322580645,0.0416666666666666,0.0,0.0,0.0,0.0,1413.0,338.0,4.180473372781065,0.0,437
Bedford Dwellings,312.47102649610986,15623.551324805494,15936.022351301603,0.47129868249790324,23.564934124895164,0.0858201116440838,0.26050106419016966,24.036232807393066,0.0,0.1570995608326344,0.0,144.2173968443584,0.0,0.0,0.0,24.036232807393066,96.14493122957226,0.0,0.0,0.0,0.0,0.0,0.0,24.036232807393066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7511322752310333,2.2891650292755292,0.0,0.0,0.0,0.0,0.0,0.0,0.9244704925920396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13604.507768984477,6994.543746951383,46.75088580407036,0.0,4759.1740958638275,7510.626338425584,375531.31692127924,383041.9432597048,11.32824485433723,566.4122427168616,2.062792183033663,6.261464225448563,577.7404875711987,0.0,3.77608161811241,0.0,3466.4429254271927,0.0,0.0,0.0,577.7404875711987,2310.961950284795,0.0,0.0,0.0,0.0,0.0,0.0,577.7404875711987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.05439023659996,55.02290357820939,0.0,0.0,0.0,0.0,0.0,0.0,22.220787983507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327001.11596529855,168122.48188321886,1123.7151751384827,0.0,114392.61653909736,13,650,663,0.0196078431372549,0.9803921568627452,0.003570447679209,0.0108378491037932,1.0,0.0,0.0065359477124183,0.0,6,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.03125,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,291.0,1.945017182130584,0.0,198
Beechview,652.2106121552891,2834.045216046974,3486.255828202263,0.547156553821551,2.3775547114488034,0.17912952819425662,0.0472537760074525,17.54826759162213,5.84942253054071,0.11469455942236685,0.10445397375965548,17.54826759162213,0.0,0.0,0.0,0.0,5.84942253054071,2.924711265270355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.924711265270355,0.0,0.0,0.0,2.924711265270355,0.0,0.0,2.924711265270355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139271965012874,0.10445397375965548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1624839591816862,0.0,0.0,0.0,0.18279445407939718,0.0,0.0,0.12186296938626459,0.0,0.0,0.0,0.0,27030.18151362862,7308.853451910617,10.816399165117495,687.3071473385334,1786.9985830801868,1907.5277246994485,8288.763969658141,10196.29169435759,1.6002749368283955,6.953661048370924,0.523902149052306,0.13820365101555834,51.323615911195915,17.10787197039864,0.33544847000781647,0.3054977137571184,51.323615911195915,0.0,0.0,0.0,0.0,17.10787197039864,8.55393598519932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55393598519932,0.0,0.0,0.0,8.55393598519932,0.0,0.0,8.55393598519932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4073302850094913,0.3054977137571184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47521866584440614,0.0,0.0,0.0,0.5346209990749575,0.0,0.0,0.3564139993833044,0.0,0.0,0.0,0.0,79055.47637521212,21376.286027013102,31.63484448788,2010.1749565218402,5226.454886956784,223,969,1192,0.1870805369127516,0.8129194630872483,0.0612469101895083,0.0161567319716548,6.0,2.0,0.0392156862745098,0.0357142857142857,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0625,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,9242.0,2499.0,3.69827931172469,235.0,611
Beechview,1242.6027117817573,5399.470976307278,6642.073688089035,1.0424519394142255,4.5297575304591255,0.3412806129584608,0.09002869489466042,33.43325681924011,11.144418939746704,0.21851801842640595,0.19900748106690533,33.43325681924011,0.0,0.0,0.0,0.0,11.144418939746704,5.572209469873352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.572209469873352,0.0,0.0,0.0,5.572209469873352,0.0,0.0,5.572209469873352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26534330808920714,0.19900748106690533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3095671927707414,0.0,0.0,0.0,0.3482630918670845,0.0,0.0,0.23217539457805594,0.0,0.0,0.0,0.0,51498.35992056951,13924.951465213506,20.607587003029018,1309.4692254202375,3404.6199860926176,6924.042597880615,30086.983306485723,37011.02590436634,5.808760568691789,25.240757807454465,1.9016870634113172,0.5016587462523655,186.29711025687752,62.09903675229252,1.2176281716135788,1.1089113705766516,186.29711025687752,0.0,0.0,0.0,0.0,62.09903675229252,31.04951837614626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.04951837614626,0.0,0.0,0.0,31.04951837614626,0.0,0.0,31.04951837614626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4785484941022022,1.1089113705766516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7249732431192346,0.0,0.0,0.0,1.9405948985091412,0.0,0.0,1.2937299323394253,0.0,0.0,0.0,0.0,286959.6488323437,77592.7464219895,114.82979144951729,7296.63681839437,18971.255727825363,223,969,1192,0.1870805369127516,0.8129194630872483,0.0612469101895083,0.0161567319716548,6.0,2.0,0.0392156862745098,0.0357142857142857,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0625,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,9242.0,2499.0,3.69827931172469,235.0,611
Beltzhoover,53.342864857344416,1821.2778144150452,1874.6206792723897,0.10842045702712269,3.701784175640335,0.01465060831017415,0.030367283274948285,11.430613898002376,0.0,0.07470989475818546,0.0,26.671432428672208,0.0,0.0,0.0,3.8102046326674586,0.0,0.0,0.0,0.0,3.8102046326674586,0.0,0.0,0.0,0.0,3.8102046326674586,0.0,0.0,0.0,0.0,0.0,0.0,3.8102046326674586,3.8102046326674586,3.8102046326674586,3.8102046326674586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11906889477085808,0.0,0.0,0.0,0.0,0.16566107098554161,0.0,0.0,0.0,0.0,0.6350341054445762,0.0,0.0,0.0,0.0,0.0,0.0,0.23813778954171616,0.14111869009879463,0.06145491343012023,0.15875852636114385,0.0,0.0,0.0,0.0,7647.080697763589,1737.4533124963611,16.769913810885065,438.1735327567577,647.734787553468,203.24723079920787,6939.441165858669,7142.688396657877,0.413104127640666,14.104555215159895,0.05582181565482191,0.11570556341573299,43.55297802840169,0.0,0.2846599871137365,0.0,101.62361539960393,0.0,0.0,0.0,14.517659342800563,0.0,0.0,0.0,0.0,14.517659342800563,0.0,0.0,0.0,0.0,14.517659342800563,0.0,0.0,0.0,0.0,0.0,0.0,14.517659342800563,14.517659342800563,14.517659342800563,14.517659342800563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4536768544625176,0.0,0.0,0.0,0.0,0.6312025801217633,0.0,0.0,0.0,0.0,2.4196098904667593,0.0,0.0,0.0,0.0,0.0,0.0,0.9073537089250352,0.5376910867703907,0.23415579585162172,0.6049024726166892,0.0,0.0,0.0,0.0,29136.94230100073,6620.0526603170565,63.89680329166827,1669.5308244220646,2468.002088276096,14,478,492,0.0284552845528455,0.9715447154471544,0.0038450975006866,0.0079699874947894,3.0,0.0,0.0196078431372549,0.0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0434782608695652,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.037037037037037,0.0161290322580645,0.0416666666666666,0.0,0.0,0.0,0.0,2007.0,456.0,4.401315789473684,115.0,170
Bloomfield,941.2526224357944,33187.870242921344,34129.12286535714,0.961442923836355,33.89976531452639,0.2585148647173277,0.5533617381062316,104.58362471508826,0.0,0.6835531027129952,0.0,209.16724943017653,0.0,0.0,0.0,34.86120823836276,34.86120823836276,0.0,34.86120823836276,0.0,0.0,0.0,0.0,0.0,0.0,34.86120823836276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.86120823836276,0.0,0.0,34.86120823836276,0.0,0.0,0.0,0.0,1.0894127574488361,0.8300287675800653,0.0,3.4861208238362758,0.0,0.0,0.0,0.0,0.0,0.0,5.810201373060457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4525503432651126,0.0,0.0,1.7430604119181379,0.0,15931.57216493178,6275.017482905296,88.50873424962099,0.0,50060.695030288916,32813.20367563926,1156969.2555262437,1189782.459201883,33.517061977159514,1181.7867778613315,9.012140531622938,19.290858783263694,3645.9115195154736,0.0,23.829487055656692,0.0,7291.823039030947,0.0,0.0,0.0,1215.3038398384913,1215.3038398384913,0.0,1215.3038398384913,0.0,0.0,0.0,0.0,0.0,0.0,1215.3038398384913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.3038398384913,0.0,0.0,1215.3038398384913,0.0,0.0,0.0,0.0,37.97824499495285,28.935805710440256,0.0,121.53038398384913,0.0,0.0,0.0,0.0,0.0,0.0,202.55063997308181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.63765999327039,0.0,0.0,60.76519199192457,0.0,555393.8548061906,218754.69117092842,3085.521415589947,0.0,1745176.3140080734,27,952,979,0.027579162410623,0.9724208375893768,0.0074155451798956,0.0158732805335556,3.0,0.0,0.0196078431372549,0.0,6,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.03125,0.0238095238095238,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.05,0.0,457.0,180.0,2.5388888888888888,0.0,1436
Bloomfield,1156.478474718523,40776.574367853114,41933.05284257163,1.1812854695796933,41.65125063110634,0.31762660662414666,0.6798928614898372,128.49760830205813,0.0,0.8398536490330596,0.0,256.99521660411625,0.0,0.0,0.0,42.83253610068604,42.83253610068604,0.0,42.83253610068604,0.0,0.0,0.0,0.0,0.0,0.0,42.83253610068604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.83253610068604,0.0,0.0,42.83253610068604,0.0,0.0,0.0,0.0,1.3385167531464388,1.0198222881115722,0.0,4.283253610068605,0.0,0.0,0.0,0.0,0.0,0.0,7.138756016781004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.784689004195249,0.0,0.0,2.1416268050343024,0.0,19574.468998013523,7709.856498123488,108.747049988964,0.0,61507.521840585156,49534.90601804747,1746564.0936733775,1796098.999691425,50.59745252098808,1784.0286962955847,13.604753094767165,29.121535534362184,5503.878446449719,0.0,35.97306174150143,0.0,11007.756892899439,0.0,0.0,0.0,1834.626148816573,1834.626148816573,0.0,1834.626148816573,0.0,0.0,0.0,0.0,0.0,0.0,1834.626148816573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834.626148816573,0.0,0.0,1834.626148816573,0.0,0.0,0.0,0.0,57.33206715051791,43.68157497182315,0.0,183.46261488165732,0.0,0.0,0.0,0.0,0.0,0.0,305.77102480276204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.44275620069043,0.0,0.0,91.73130744082866,0.0,838424.1500091739,330232.7067869831,4657.911944495409,0.0,2634523.149700599,27,952,979,0.027579162410623,0.9724208375893768,0.0074155451798956,0.0158732805335556,3.0,0.0,0.0196078431372549,0.0,6,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.03125,0.0238095238095238,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.05,0.0,457.0,180.0,2.5388888888888888,0.0,1436
Bloomfield,2751.6434719408658,97020.91056621126,99772.55403815213,2.810667489214359,99.10205369378065,0.755738388338603,1.6176892132757141,305.7381635489851,0.0,1.9982886506469613,0.0,611.4763270979702,0.0,0.0,0.0,101.91272118299501,101.91272118299501,0.0,101.91272118299501,0.0,0.0,0.0,0.0,0.0,0.0,101.91272118299501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.91272118299501,0.0,0.0,101.91272118299501,0.0,0.0,0.0,0.0,3.184772536968594,2.4264933614998805,0.0,10.191272118299503,0.0,0.0,0.0,0.0,0.0,0.0,16.985453530499164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.246363382624786,0.0,0.0,5.095636059149752,0.0,46574.11358062873,18344.289812939103,258.7450754479373,0.0,146346.66761878086,280427.47395091783,9887665.007454583,10168092.481405502,286.4427721664116,10099.759966756468,77.01935565803807,164.86310975330642,31158.608216768647,0.0,203.6510340965271,0.0,62317.216433537295,0.0,0.0,0.0,10386.20273892288,10386.20273892288,0.0,10386.20273892288,0.0,0.0,0.0,0.0,0.0,0.0,10386.20273892288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10386.20273892288,0.0,0.0,10386.20273892288,0.0,0.0,0.0,0.0,324.56883559134,247.29054140292567,0.0,1038.6202738922884,0.0,0.0,0.0,0.0,0.0,0.0,1731.0337898204798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.7584474551194,0.0,0.0,519.3101369461442,0.0,4746494.651687757,1869516.4930061188,26369.41473159865,0.0,14914587.13309326,27,952,979,0.027579162410623,0.9724208375893768,0.0074155451798956,0.0158732805335556,3.0,0.0,0.0196078431372549,0.0,6,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.03125,0.0238095238095238,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.05,0.0,457.0,180.0,2.5388888888888888,0.0,1436
Bloomfield,831.3000569291606,29311.024229502254,30142.324286431416,0.84913182525961,29.939759172116702,0.228316412229925,0.4887207041184187,92.36667299212895,0.0,0.6037037450465945,0.0,184.7333459842579,0.0,0.0,0.0,30.788890997376317,30.788890997376317,0.0,30.788890997376317,0.0,0.0,0.0,0.0,0.0,0.0,30.788890997376317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.788890997376317,0.0,0.0,30.788890997376317,0.0,0.0,0.0,0.0,0.9621528436680099,0.7330688332708645,0.0,3.078889099737632,0.0,0.0,0.0,0.0,0.0,0.0,5.131481832896051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2828704582240114,0.0,0.0,1.539444549868816,0.0,14070.523185800977,5542.000379527737,78.16957325444987,0.0,44212.847472232395,25594.806838904653,902453.930023601,928048.7368625058,26.143827210321327,921.811981637999,7.029609129059198,15.047168487262997,2843.8674265449613,0.0,18.587368800947463,0.0,5687.734853089923,0.0,0.0,0.0,947.9558088483204,947.9558088483204,0.0,947.9558088483204,0.0,0.0,0.0,0.0,0.0,0.0,947.9558088483204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.9558088483204,0.0,0.0,947.9558088483204,0.0,0.0,0.0,0.0,29.623619026510013,22.57037640115048,0.0,94.79558088483206,0.0,0.0,0.0,0.0,0.0,0.0,157.99263480805334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.49815870201329,0.0,0.0,47.39779044241603,0.0,433215.8046436825,170632.0455926977,2406.7544702426803,0.0,1361264.5415061882,27,952,979,0.027579162410623,0.9724208375893768,0.0074155451798956,0.0158732805335556,3.0,0.0,0.0196078431372549,0.0,6,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.03125,0.0238095238095238,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.05,0.0,457.0,180.0,2.5388888888888888,0.0,1436
